ID;Nombre;Categoria;Imagen
1;Press de banca plano (Mancuernas);Pecho;/exercises/futures_pecho_press_superior_mancuernas_alt_final.png
2;Press de banca inclinado (Mancuernas);Pecho;/exercises/futures_pecho_press_inclinado_mancuernas_final.png
3;Aperturas laterales (Mancuernas);Pecho;/exercises/futures-pecho-aperturas-laterales.png
4;Press superior con mancuernas;Pecho;/exercises/futures-pecho-press-superior-mancuernas.png
5;Aperturas en banco plano;Pecho;/exercises/futures-pecho-aperturas-banco-plano.png
6;Press de banca plano (Barra);Pecho;/exercises/futures-pecho-press-banca-plano-barra.png
7;Press de banca inclinado (Barra);Pecho;/exercises/futures-pecho-press-inclinado-barra.png
8;Cruce de poleas (Superior);Pecho;/exercises/futures-pecho-cruce-superior.png
9;Cruce de poleas (Inferior);Pecho;/exercises/futures-pecho-cruce-inferior.png
10;Contractora (Machine Fly);Pecho;/exercises/futures-pecho-contractora.png
11;Flexiones (Push ups);Pecho;/exercises/futures-pecho-flexiones.png
12;Pull over con mancuerna;Pecho;/exercises/futures-pecho-pullover.png
13;Fondos en paralelas (Dips);Pecho;/exercises/futures_pecho_fondos_paralelas_final.png
14;Press declinado;Pecho;/exercises/futures_pecho_press_declinado_final.png
15;Dominadas (Pull ups);Dorsal;/exercises/lat-pulldown.png
16;Jalón al pecho (Neutral);Dorsal;/exercises/futures_dorsal_jalon_neutral_final.png
17;Jalón al pecho (Ancho);Dorsal;/exercises/futures-dorsal-jalon-ancho.png
18;Remo en polea baja (Gironde);Dorsal;/exercises/futures-dorsal-remo-polea-baja.png
19;Jalón tras nuca);Dorsal;/exercises/futures-dorsal-jalon-tras-nuca.png
20;Remo horizontal con mancuerna (Serrucho);Dorsal;/exercises/futures_dorsal_remo_mancuerna_horizontal_final.png
21;Remo en máquina;Dorsal;/exercises/seated-cable-row.png
22;Remo con barra;Dorsal;/exercises/futures-dorsal-remo-barra.png
23;Remo vertical con mancuernas;Dorsal;/exercises/futures-dorsal-remo-vertical.png
24;Remo con Mancuerna;Dorsal;/exercises/futures_dorsal_remo_mancuerna_horizontal_final.png
25;Curl con barra Z;Bíceps;/exercises/futures-biceps-curl-barra-recta.png
26;Curl con barra recta;Bíceps;/exercises/futures_biceps_curl_barra_recta_alt_final.png
27;Curl martillo (Hammer);Bíceps;/exercises/futures-biceps-curl-martillo.png
28;Curl concentrado;Bíceps;/exercises/futures-biceps-curl-concentrado.png
29;Curl en banco Scott (Predicador);Bíceps;/exercises/futures-biceps-curl-predicador.png
30;Curl con polea baja;Bíceps;/exercises/futures-biceps-curl-polea-baja.png
