ID;Nombre;Categoria;Imagen
1;Press de banca plano con barra;Pecho;/exercises/v2_pecho_1.png
2;Press de banca inclinado con barra;Pecho;/exercises/v2_pecho_2.png
3;Aperturas en banco con mancuernas;Pecho;/exercises/v2_pecho_3.png
4;Press de banca plano con mancuernas;Pecho;/exercises/v2_pecho_4.png
5;Press de banca declinado con mancuernas;Pecho;/exercises/v2_pecho_5.png
6;Aperturas planas con mancuernas;Pecho;/exercises/v2_pecho_6.png
7;Press inclinado con mancuernas;Pecho;/exercises/v2_pecho_7.png
8;Press de pecho en máquina sentado;Pecho;/exercises/v2_pecho_8.png
9;Press de banca;Pecho;/exercises/v2_pecho_9.png
10;Pull-over con mancuerna Inclinado;Pecho;/exercises/v2_pecho_10.png
11;Press banca declinado con barra;Pecho;/exercises/v2_pecho_11.png
12;Flexiones de brazos;Pecho;/exercises/v2_pecho_12.png
13;Aperturas en pecho maquina;Pecho;/exercises/v2_pecho_13.png
14;Fondos de pecho;Pecho;/exercises/v2_pecho_14.png
15;Dominadas asistidas;Dorsal;/exercises/v2_dorsal_15.png
16;Jalón al pecho agarre estrecho;Dorsal;/exercises/v2_dorsal_16.png
17;Jalón al pecho agarre ancho;Dorsal;/exercises/v2_dorsal_17.png
18;Jalón al pecho con brazos rectos;Dorsal;/exercises/v2_dorsal_18.png
19;Jalón al pecho agarre neutro;Dorsal;/exercises/v2_dorsal_19.png
20;Remo en polea baja (Gironda);Dorsal;/exercises/v2_dorsal_20.png
21;Remo en máquina;Dorsal;/exercises/v2_dorsal_21.png
22;Remo con mancuerna;Dorsal;/exercises/v2_dorsal_22.png
23;Remo con barra;Dorsal;/exercises/v2_dorsal_23.png
24;Remo en banco con mancuernas una mano;Dorsal;/exercises/v2_dorsal_24.png
99;Pullover tumbado en banco con mancuerna;Dorsal;/exercises/v2_dorsal_99.png
25;Curl con barra;Bíceps;/exercises/v2_biceps_25.png
26;Curl predicador (Banco Scott);Bíceps;/exercises/v2_biceps_26.png
27;Curl con mancuernas alterno;Bíceps;/exercises/v2_biceps_27.png
28;Curl con mancuernas sentado;Bíceps;/exercises/v2_biceps_28.png
29;Curl con mancuernas banco inclinado;Bíceps;/exercises/v2_biceps_29.png
30;Curl en polea baja;Bíceps;/exercises/v2_biceps_30.png
31;Curl de bíceps martillo con polea baja;Bíceps;/exercises/v2_biceps_31.png
32;Curl concentrado;Bíceps;/exercises/v2_biceps_32.png
33;Dominadas asistidas (Bíceps);Bíceps;/exercises/v2_biceps_33.png
34;Curl tumbado barra z en polea gironda;Bíceps;/exercises/v2_biceps_34.png
35;Curl de antebrazo supinación;Bíceps;/exercises/v2_biceps_35.png
36;Curl de antebrazo pronación;Bíceps;/exercises/v2_biceps_36.png
37;Enrollamiento de muñeca;Bíceps;/exercises/v2_biceps_37.png
38;Curl invertido con barra;Bíceps;/exercises/v2_biceps_38.png
39;Curl tríceps polea alta;Tríceps;/exercises/v2_triceps_39.png
40;Extensión tras nuca con polea alta;Tríceps;/exercises/v2_triceps_40.png
41;Extensión en polea alta;Tríceps;/exercises/v2_triceps_41.png
42;Press francés con barra;Tríceps;/exercises/v2_triceps_42.png
43;Press francés con barra z;Tríceps;/exercises/v2_triceps_43.png
44;Extensión de tríceps a una mano;Tríceps;/exercises/v2_triceps_44.png
45;Press de banca agarre cerrado una mano;Tríceps;/exercises/v2_triceps_45.png
46;Patada de tríceps con mancuerna;Tríceps;/exercises/v2_triceps_46.png
47;Press francés de pie;Tríceps;/exercises/v2_triceps_47.png
48;Fondos en paralelas / máquina;Tríceps;/exercises/v2_triceps_48.png
49;Fondos entre bancos;Tríceps;/exercises/v2_triceps_49.png
